equivocate	intentionally use vague language
qualm	sudden feeling of faintness or nausea
nugatory	trifling; invalid
Rarefy	to make thinner or sparser
Distaff	the female branch of a family
Ford	to cross a body of water by wading
contentious	quarrelsome; causing quarrels
implacable	inflexible; incable of being pleased or calmed down
Dissemble	to present a false appearance; to disguise one's real intentions or character
Explicit	clearly stated or shown; forthright in expression
Circumspect	cautious; aware of potential consequences
placid	calm
Affected	phony; artificial
taxonomy	science of classification
axiomatic	taken for granted; self-evident truth
tenet	belief, doctrine
propensity	inclination, tendency
onomatopeia	formation or use of words that imitate sounds of the actions they refer to
Hyperbole	purposeful exaggeration for effect
discordant	not in tune
syllogism	a form of deductive reasoning with a major premise, a minor premise, and a conclusion
malign	to speak evil of
machiavellian	crafty; double-dealing
Ostensible	apparent
visage	appearance, aspect
Doctrinaire	rigidly devoted to theories without regard for practicality; dogmatic
expatiate	to speak or write at length
flora	plants of a region or era
execrable	detertable; abhorrent
Knell	sound of a funeral bell; omen of death or failure
Mar	to damage or deface; spoil
sinecure	well-paying job that requieres little or no work
Arbitrate	to judge a dispute between two opposing parties
impervious	incapable of being affected; impossible to penetrate
fauna	animals of a period o region
riposte	retaliatory action or retort
emollient	soothing; mollifying
efficacy	effectiveness; efficiency
cant	insincere talk; language of a particular group
Pastiche	piece of literature or music imitating other works
Naive	lacking sophistication or experience
banal	commonplace; trite
Abase	to humble; disgrace
Ersatz	fake
resolution	determination, resolve
Spartan	highly self-disciplined; frugal; austere
Rejoinder	response
Umbrage	offense; resentment
Repast	meal or mealtime
disinterested	unpredujiced; objective
tenuous	weak, insubstantial
Precipitate	to throw violently or bring about abruplty; lacking deliberation
remonstrate	to object or protest
Credulous	too trusting; gullible
lucre	money or profits
Obstinate	stubborn; unyielding
tryst	agreement between lovest to meet, rendez-vous
causal	involving a cause
valedictory	pertaining to a farewell
redoubtable	formidable, arousing fear
Pugilism	boxing
plasticity	pliability; condition of being able to be shaped or formed
beneficent	kindly; doing good
Prattle	meaningless, foolish talk
Glower	to glare or stare angrily and intensely
Pithy	profound or substantial yet concise, succinct and to the point
Blight	to afflict; destroy
Legerdemain	trickery
Misanthrope	a person who dislikes others
Prudence	wisdom, caution, or restraint
misanthrope	one who hates humanity; one who dislikes others
Esoteric	known or understood only by a few
Heterogeneous	composed of unlike parts; different; diverse
soporific	sleep producing
vogue	prevailing fashion or practice
alleviate	to relieve; improve partially
Ostentation	excessive showiness
Vex	to annoy; irritate; puzzle; confuse
Ardor	intense and passionate feeling
whimsical	fanciful, unpredictable
fawning	seeking flavor by flattering
secrete	produce and release substance into organism
Sybarite	a person devoted to pleasure and luxury
torque	a turning or twisting force
mendacious	dishonest
fledging	beginner; novice
ambrosia	something delicious; the food of the gods
Cupidity	greed; strong desire
emaciated	thin and wasted
entomology	the scientific study of insects
demotic	pertaining to people
Potentate	a monarch or ruler with great power
Malediction	a curse; a wish of evil upon another
implicit	implied; understood but not stated
Proliferate	to increase in number quickly
sardonic	cynical, scornfully mocking
Quotidian	occurring daily; commonplace
extrapolation	the act of estimation by projecting known information
Inter	to bury
bacchanalian	pertaining to riotous or drunken festivity; pertaining to revelry
daunt	to discourage; intimidate; dishearten
Connoisseur	a person with expert knowledge or discriminating tastes
Leery	suspicious
insuperable	insurmountable; unconquerable
prattle	meaningless, foolish talk
vituperative	using or containing harsh, abusive censure
Craven	lacking courage
schematic	relating to or in the form of an outline or diagram
Surfeit	excessive amount
vindictive	vengeful, unforgiving
Idiosyncrasy	peculiarity of temperament; eccentricity
adjunct	something added, attached, or joined
Peccadillo	minor sin or offense
subpoena	notice ordering someone to appear in court
inveigh	to disapprove; protest vehemently
Sully	to tarnish; taint
Antagonize	to annoy or provoke to anger
eclectic	selecting from various sources
paragon	model of perfection or excellence
frugality	thrift
simian	apelike, relating to apes
apogee	the point in an orbit most distant from the body being orbited; the highest point
Erudite	learned; scholarly; bookish
interregnum	interval between reigns; gap in continuity
denizen	an inhabitant; a regular visitor
venal	mercenary, corruptible
Assuage	to make something unpleasant less severe
Parley	discussion, usually between enemies
codify	to systematize
Ebullient	exhilarated; full of enthusiam and high spirits
Catholic	universal broad and comprehensive
Monotony	no variaion; tedioulsly the same
Perfidious	willing to betray one's trust
euthanasia	mercy killing
perfunctory	superficial; performed really as a duty
Hapless	unfortunate; having bad luck
indigence	poverty
Precis	short summary of facts
inured	hardened; accustomed; used to
Chaos	great disorder or confused situation
officious	too helful; meddlesome
prehensile	capable of grasping
sordid	filthy, contemptible and corrupt
Requite	to return or repay
forswear	renounce; repudiate
Missive	a written note or letter
Impecunious	poor; having no money
minuscule	very small
Endemic	belinging to a particular area; inherent
Audacious	fearless and daring
tumid	swollen, distended
relegate	to consign to an inferior position
hermetic	tighly sealed; magical
Assail	to attack; assault
apropos	relevant
Amulet	ornament worn as a charm against evil spirits
Variegated	varied; marked with different colors
volatile	tending to vary frequently, fickle
Plethora	excess
inherent	firmly established by nature or habit
default	to fail to act
propriety	correct conduct, fitness
Collusion	collaboration; complicity; conspiracy
grouse	to complain
Hoary	very old; whitish or gray from age
virtuoso	someone with master skills, expert musician
Aesthetic	concerning the appreciation of beauty
Tangential	digressing; diverting
catalyst	something that causes change
florid	ruddy; reddish; flowery
Pariah	an outcast
Lampoon	to ridicule with satire
Jingoism	belligerent support of one's country
transient	temporary, fleeting
Anachronism	something out of place in time
tome	book, usually large and academic
plaintive	melancholy; mournful
converge	to approach; come together; tend to meet
impermeable	impossible to permeate
renege	to go back on one's word
appropriate	to take possession of for one's own use; confiscate
diverge	to vary; go in different directions from the same point
enunciate	to pronounce clearly
saturate	imbue througout, soak thoroughly
detraction	the act of taking away
brazen	bold; shameless
insensible	unconscious; unresponsive
salacious	lascivious, lustful
vertigo	dizziness
mnemonic	realated to memory; assisting memory
nostalgia	sentimental longing for a past time
centripetal	moving or directed toward a center
stolid	having or showing little emotion
Pathogenic	causing disease
Voluble	talkative; speaking easily; glib
substantiate	to support with proof or evidence
abate	to decrease; reduce
ambiguous	unclear or doubtful in meaning
Engender	to produce, cause, or bring about
innocuous	harmless
analgesic	medication that reduces or eliminates pain
disseminate	to spread; scatter; disperse
Abdicate	to give up a position, right, or power
turgid	swollen, pompous
Austere	severe or stern in appearance; undecorated
defame	to malign; harm someone's reputation
forestall	to prevent; delay
histrionic	relating to exaggerated emotional behavior calculated for effect; theatrical acts or performances
supposition	the act of assuming to be true or real
effervescence	state of high spirits or liveliness; process of bubling as gas escapes
tutelary	serving as a guardian or protector
Tome	book, usually large and academic
contend	to assert
metaphysics	a branch of philosophy tha tinvestigates the ultimate nature of reality
prodigal	wasteful; extravagant; lavish
Pervade	to be present throughout; to permeate
modicum	limited quantity
fissure	crevice
arduous	extremely difficult; laborious
Grovel	to humble oneself in a demeaning way
Volatile	easily aroused or changeable; lively or explosive
impute	to attribute the fault to; relate to a particular cause or source
ingenous	naive and trusting; lacking sophistication
belie	to contradict; misrepresent; give a false impression
Symbiosis	cooperation; mutual helpfulness
Insipid	lacking interest or flavor
buttress	to reinforce; support
continence	self-control; abstention from sexual activity
castigation	punishment; chastisement; criticism
harrowing	extremely distressing; terrifying
Panache	flamboyance or dash in style and action; verve
menagerie	a variety of animals kept together
deference	respect; regard for another's wish
cloister	to confine; seclude
porous	full of holes; permeable to liquids
Tawdry	gaudy, cheap,or showy
Hegemony	the domination of one state or group over its allies
thespian	an actor or actress
collage	artistic composition of materials pasted over a surface; an assemblage of diverse elements
Chauvinist	someone prejudiced in favor of a group to which he or she belongs
Dilate	to make larger; expand
desultory	random; disconnected; rambling
jocose	fond of joking; jocular
arrest	to stop; to seize
Lionize	to treat as a celebrity
Euphony	pleasant, harmonious sound
Posit	to assume as real or conceded; propose as an explanation
celestial	concerned with sky or heavens; sublime
Limpid	clear; transparent
diatribe	bitter verbal attack
necromancy	black magic
plumb	to examine deeply; determine the depth
defunct	no longer existing
Effrontery	impudent boldness; audacity
anodyne	something that calms or soothes pain
supplicant	one who asks humbly and earnestly
avarice	greed
nonplussed	bewildered
strident	loud, harsh, unpleasantly noisy
copious	abundant; plentiful
viscous	thick, syrupy
sodden	thoroughly soaked, saturated
congenial	similar in tastes and habits; friendly; suited to
empirical	derived from observation or experiment
contumacious	disobedient; rebellious
effete	depleted of vitality; overrefined; decadent
Mollify	to calm or make less severe
stigma	mark of disgrace or inferiority
Wizened	shriveled; withered; wrinkled
Venerate	to respect deeply
disparate	dissimilar
appellation	name
concomitant	existing concurrently
tangential	peripheral, irrelevant, digressing
Obsequious	overly submissive and eager to please
Mitigate	to soften; to lessen
oligarchy	form of government in which power belongs to only a few leaders
Prodigal	lavish; wasteful
erudite	learned; scholarly
truculence	aggressiveness, ferocity
alloy	a combination; a mixture of two or more metals
Xenophobia	a fear or hatred of foreigners or strangers
Deride	to speak of or treat with contempt; to mock
Pulchritude	beauty
Flag	to decline in vigor; strength; or interest
Lament	to express sorrow; to grieve
fatuous	foolishly self-satisfied
Gestation	growth process from conception to birth
caustic	burning; stinging; causing corrosion
vapid	tasteless, dull
Disabuse	to set right; free from error
Fractious	unruly; rebellious
Droll	amusing in a wry, subtle way
Salient	prominent; of notable significance
maverick	dissenter
elixir	a sustance believed to have the power to cure ills
extraneous	not essencial
trepidation	fear and anxiety
undulating	moving in waves
panegyric	elaborate praise; formal hymn of praise
Curmudgeon	cranky person, usually old
Fanatical	acting excessively enthusiastic; filled with extreme, unquestioned devotion
sundry	various
Obdurate	hardening in feeling; resistant to persuasion
Militate	to operate against; work against
Ingenuous	showing innocence or childlike simplicity
etiology	causes or origins
Profligate	corrupt; degenerate
Estimable	admirable
lambaste	to trash verbally or physically
imperturbable	not easily disturbed
Lugubrious	sorrowful; mournful; dismal
Enumerate	to count, list, or itemize
vivisection	dissection, surgery, or painful experiments performed on a living animal for the purpose of scientific research
levee	en embankment that prevents a river from overflowing
Diatribe	an abusive, condemnatory speech
garrulous	very talkative; wordy
bolster	to give a boost to; prop up; support
Liberal	tolerant or broad-minded; generous or lavish
Axiom	premise; postulate; self-evident truth
essay	to make an attempt; subject to a test
Jocular	playful; humorous
Diurnal	existing during the day
Vacillate	to physically sway or to be indecisive
phoenix	anything that is restored after suffering great destruction
Aggrandize	to increase in power, influence, and reputation
Ingratiate	to gain favor with another by deliberate effort; to seek to please somebody so as to gain an advantage
Contumacious	rebellious
Fetid	foul-smelling; putrid
flourish	en embellishment or ornamentation
saturnine	gloomy
Pallid	lacking color or liveliness
Eulogy	speech in praise of someone
impair	to damage; injure
chasten	to correct by punishment or reproof; to restrain or subdue
sedition	behaviour prompting rebellion
tout	to promote or praise energetically
Intrepid	fearless; resolutely courageous
Propitiate	to conciliate; to appease
gullible	easily deceived
abscond	to depart secretly
amenable	agreeable; cooperative; suited
Vestige	a trace; remnant
kudos	fame; glory; honor
Pedant	someone who shows off learning
internecine	deadly to both sides
cognizant	informed; conscious; aware
invective	verbal abuse
distrait	inattentive; preoccupied
Polemic	controversy; argument; verbal attack
peregrination	wandering from place to place
incursion	sudden invasion
Dupe	to deceive; a person who is easily deceived
clique	a small, exclusive group
boorish	rude; insensitive
somatic	relating to or affecting the body, corporeal
broach	to mention for the first time
Largess	generous giving (as of money) to others who may seem inferior
carping	to find fault; complain
terrestrial	earthly, commonplace
digression	act of straying from the main point
Pare	to trim off excess; reduce
Apathy	lack of interest or emotion
cardinal	of foremost importance
Languid	lacking energy; indifferent
fetter	to bind; confine
Deleterious	subtly or unexpectedly harmful
recondite	abstruse, profound
hirsute	covered with hair
Elysian	delightful; blissful
prate	to talk idly; chatter
vexation	irritation, annoyance
Impious	not devout in religion
Deference	respect; courtesy
ornithologist	scientist who studies birds
cosmology	study of the universe as a totality; theory of the origin and structure of the universe
specious	seeming to be logical and sound, but not really so
pellucid	transparent; easily understood
Wily	clever; deceptive
interpolate	to insert; change by adding new words or material
Foment	to arouse or incite
Whimsical	lightly acting in a fanciful or capricious manner; unpredictable
Coalesce	to grow together to form a single whole
latent	dormant; potential not apparent
artless	guileless; natural
credo	statement of belief or principle; creed
supersede	to relace, especially to displace as inferior or antiquated
vitiate	to impair the quality of, corrupt morally
Accretion	a growth in size; increase in amount
Polyglot	a speaker of many languages
ascetic	one who practices self-denial
gouge	to tear out; scoop out; overcharge
Dogma	a firmly held opinion, especially a religious belief
recalcitrant	resisting authority or control
odyssey	a long, adventurous voyage; a quest
Prescient	having foresight
rubric	protocol, title or heading
denouement	outcome; unraveling of the plot of a play or work of literature
cadge	to beg; sponge
shard	a piece of broken glass or pottery
juxtapose	place side by side
militate	to work against
expository	explanatory
convention	practice widely observed in a group; custom; accepted technique or device
explicate	to explain;interpret;clarify
Phlegmatic	calm and unemotional in temperament
stratified	arranged in layers
complacent	self-satisfied
dissonance	discord; lack of harmony
guileless	free of cunning or deceit; artless
viable	practicable, capable of developing
homogeneous	composed of identical parts; uniform in composition
covert	hidden; secret
Zeal	passion; excitement
simpatico	likable and easy to get along with
fulmination	angry speech
tantamount	equivalent
senescence	the state of being old
vice	a bad habit
debase	to lower the value of something
aleatory	due to luck
perquisite	a perk
remuneration	a salary
mordant	expressing harsh criticism
choleric	made angry easily
bilious	irritable, despondent
phlegmatic	calm in a difficult situation
touchstone	something that is used to make judgments about other things
auspicious	conducive to success; favourable
pundit	a spokesperson to the mass media
pyrrhic	victory with such a devastating cost that it is tantamount to defeat; 
enervated	exhausted
